# Tetrahedron method
       -2.6903365793        0.0000000000
       -2.5808658671        0.0000000000
       -2.4713951549        0.0000000000
       -2.3619244427        0.0000000000
       -2.2524537305        0.0000000000
       -2.1429830183        0.0000000000
       -2.0335123061        0.0000000000
       -1.9240415939        0.0000000000
       -1.8145708817        0.0000000000
       -1.7051001696        0.0000000000
       -1.5956294574        0.0000000000
       -1.4861587452        0.0000000000
       -1.3766880330        0.0000000000
       -1.2672173208        0.0000000000
       -1.1577466086        0.0000000000
       -1.0482758964        0.0000000000
       -0.9388051842        0.0000000000
       -0.8293344720        0.6785157380
       -0.7198637598        0.2933331578
       -0.6103930476        0.2807611120
       -0.5009223354        0.7755157266
       -0.3914516232        0.6960383025
       -0.2819809111        0.4845289966
       -0.1725101989        0.2954567926
       -0.0630394867        0.3846839810
        0.0464312255        0.3519114421
        0.1559019377        0.3789613705
        0.2653726499        0.4787335236
        0.3748433621        0.5819382040
        0.4843140743        0.7127962755
        0.5937847865        0.8658150240
        0.7032554987        1.2869575175
        0.8127262109        1.1574276696
        0.9221969231        0.4637541100
        1.0316676353        0.5324318011
        1.1411383475        0.6078556344
        1.2506090596        0.6150162699
        1.3600797718        0.5829825995
        1.4695504840        0.7630982620
        1.5790211962        0.9358064087
        1.6884919084        0.9777445998
        1.7979626206        1.0669802359
        1.9074333328        2.0860221439
        2.0169040450        2.3643289704
        2.1263747572        2.8942978976
        2.2358454694        3.2852487670
        2.3453161816        3.3226137005
        2.4547868938        0.8299443065
        2.5642576060        1.2077797942
        2.6737283181        3.4545087258
        2.7831990303        1.6273065163
        2.8926697425        3.3813707680
        3.0021404547        3.2232625188
        3.1116111669        1.2674302596
        3.2210818791        0.8355567861
        3.3305525913        1.8772275528
        3.4400233035        2.0500843206
        3.5494940157        1.8350385321
        3.6589647279        3.3332958180
        3.7684354401        2.6460439428
        3.8779061523        1.9045589781
        3.9873768645        3.6107633645
        4.0968475767        3.7329358225
        4.2063182888        1.5548671159
        4.3157890010        0.9144930674
        4.4252597132        5.1278633035
        4.5347304254        1.2674957803
        4.6442011376        0.9016441029
        4.7536718498        0.7708190225
        4.8631425620        0.6802833523
        4.9726132742        0.6169923242
        5.0820839864        0.2417721416
        5.1915546986        0.2143574458
        5.3010254108        0.0173243741
        5.4104961230        0.0000000000
        5.5199668352        0.0000000000
        5.6294375473        0.0000000000
        5.7389082595        0.0000000000
        5.8483789717        0.0000000000
        5.9578496839        0.0000000000
        6.0673203961        0.0000000000
        6.1767911083        0.0000000000
        6.2862618205        0.0000000000
        6.3957325327        2.2135663609
        6.5052032449        3.3160656482
        6.6146739571        2.3317992962
        6.7241446693        4.4604920474
        6.8336153815        4.6825423929
        6.9430860937        1.4017475391
        7.0525568059        1.3699480708
        7.1620275180        0.9334122782
        7.2714982302        0.7223415455
        7.3809689424        0.5943593946
        7.4904396546        0.5255585456
        7.5999103668        0.4679719674
        7.7093810790        0.4244693010
        7.8188517912        0.3912814198
        7.9283225034        0.3640955848
        8.0377932156        0.3488107088
        8.1472639278        0.3416014898
        8.2567346400        0.3216776631
        8.3662053522        0.0000000000
        8.4756760644        0.0000000000
        8.5851467765        0.0000000000
        8.6946174887        0.0000000000
        8.8040882009        0.2361614025
        8.9135589131        0.2030414640
        9.0230296253        0.1561919983
        9.1325003375        0.1460100451
        9.2419710497        0.1460890213
        9.3514417619        0.1310693997
        9.4609124741        0.1263946929
        9.5703831863        0.1261246763
        9.6798538985        0.1258546598
        9.7893246107        0.1253998522
        9.8987953229        0.1257625760
